,mergy.workerid,mergy.assignmentid,mergy.bonus
0,A19MH4TJD1VSW7,3PS7W85Z8Z2QRJCEPSPJEEYBNMD9TT,2.0
1,ACVJ6IUO9QM4R,3R0T90IZ1SCOKCXBHC03HLKU3D8CG4,1.5
2,A1P47Q6LZPLQ6P,3RJSC4XJ10U6ANDBO0OSINR44FX50M,1.5
3,A3K9GTQBOI7O5A,3SKRO2GZ71R9ZVJWR6WYYHTW6XZK1Q,1.5
4,A2QXLT5C8K29PT,36TFCYNS44AQN63HSEE8GYH5JVBXHS,1.5
5,A2V27A9GZA1NR2,3E337GFOL987BGU2629HXWE62HONGZ,2.0
6,A3V2XCDF45VN9X,3LYA37P8IQNACT1OT3PN4T65S9RKBA,1.5
7,ACXP8KHFX06KR,3Y5140Z9DXGLASCAC5MCMXWHH9HPIP,1.5
8,A8C3WNWRBWUXO,33CUSNVVNNC7FU1GH28ANM7DP3A88E,2.0
9,A90G0G4SJ26BM,32N49TQG3GIJ9UQ8MT3YBRXGQPBAVP,2.0
10,A89R5XGMHOTJE,3IXEICO792J390AGRLM7U479XL5T62,2.0
11,A2VF6506WDNXKS,3P1L2B7AD1P5FT8FI86APDJJO8DLOG,1.5
12,A2J5N770I859WE,3BF51CHDTVAIQGX6P2P17KUU9OP0HZ,1.5
13,A3IR7DFEKLLLO,35H6S234SA01OYZQQP49RO1VHIK56O,1.5
14,A1QM7XBRKC8EEO,3PS7W85Z8Z2QRJCEPSPJEEYBNMK9T0,1.5
15,A2CHDWKAYZ3P3E,3I3WADAZ9Q4RD45UQLQ38ONM2IDO5V,1.5
16,AXAO7UJYYEFCO,3180JW2OT4CDCTEXA8YY0S603O35JT,2.0
